obs_id,train_id,delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
id_000059,valid,0,8,1,3,10,9,DTW,PDX,1953,NW
id_000060,train,60,5,3,4,22,17,SAT,EWR,1569,CO
id_000061,test,NA,12,20,4,20,17,BNA,MCO,616,WN
id_000062,train,0,4,6,5,17,14,HPN,ATL,780,EV
id_000063,train,135,6,24,7,17,16,ATL,BQK,238,EV
id_000064,train,15,5,10,4,18,15,TPA,BDL,1111,WN
id_000065,valid,15,8,8,3,20,18,PNS,ATL,272,FL
id_000066,train,0,4,25,3,11,10,PHX,LAS,256,WN
id_000067,train,15,6,3,7,11,10,DTW,IAD,383,NW
id_000068,valid,15,10,28,7,15,13,HOU,BNA,670,WN
id_000069,train,0,2,5,1,23,21,BUR,PHX,369,WN
id_000070,test,NA,11,11,7,16,14,ATL,RIC,481,FL
id_000071,train,0,5,29,2,8,7,DAL,HOU,239,WN
id_000072,test,NA,11,18,7,14,14,PBI,TPA,174,WN
id_000073,train,0,5,27,7,9,8,TUS,PHX,110,YV
id_000074,train,120,5,15,2,21,18,MDW,SEA,1733,WN
id_000075,train,0,6,21,4,11,10,MSP,MDW,349,NW
id_000076,test,NA,11,4,7,16,15,MSY,DFW,448,AA
id_000077,test,NA,11,6,2,10,7,MKE,PHX,1460,US
id_000078,train,0,5,16,3,23,22,DTW,SBN,157,9E
id_000079,valid,0,10,2,2,14,12,YKM,SLC,586,OO
id_000080,test,NA,12,9,7,8,6,DTW,ATL,594,FL
id_000081,train,0,6,2,6,9,8,SLC,IDA,188,OO
id_000082,valid,105,9,25,2,23,21,ORD,ROC,528,UA
id_000083,train,45,5,5,6,20,19,GEG,SEA,224,AS
id_000084,train,0,4,14,6,16,11,LAX,IAH,1379,CO
id_000085,valid,15,10,6,6,17,16,SAN,LAS,258,WN
id_000086,train,30,3,27,2,18,11,LAS,CLT,1916,US
id_000087,valid,0,9,25,2,11,11,SLC,IDA,188,OO
id_000088,train,15,2,20,2,14,10,PHX,MKE,1460,US
id_000089,train,0,3,27,2,18,12,PDX,IAH,1825,CO
id_000090,train,0,2,28,3,15,10,MSP,FLL,1487,NW
id_000091,train,0,3,16,5,17,14,SEA,LAX,954,AS
id_000092,train,45,1,2,2,21,19,EWR,DTW,487,NW
id_000093,valid,0,8,22,3,9,7,MEM,ATL,332,DL
id_000094,test,NA,11,20,2,20,18,RIC,ATL,481,FL
id_000095,valid,15,10,9,2,23,22,SFO,EUG,451,OO
id_000096,valid,0,10,16,2,17,15,GPT,ATL,352,EV
id_000097,train,0,6,19,2,9,7,IAD,SLC,1827,DL
id_000098,train,75,6,3,7,17,17,DTW,BNA,457,WN
id_000099,test,NA,10,9,2,18,15,MSP,CMH,627,NW
id_000100,valid,135,8,19,7,23,20,PHL,TPA,920,WN
id_000101,valid,0,8,4,6,16,15,DFW,TYR,103,MQ
id_000102,train,0,5,17,4,9,6,EUG,SLC,619,OO
id_000103,train,135,4,27,5,11,9,JFK,ROC,264,OH
id_000104,test,NA,12,22,6,13,10,MCO,BOS,1121,B6
id_000105,valid,60,8,11,6,0,18,DEN,FLL,1703,UA
id_000106,train,15,3,16,5,14,12,ATL,DTW,594,EV
id_000107,train,0,2,28,3,15,12,DSM,ATL,743,EV
id_000108,train,0,6,7,4,12,10,DTW,BDL,548,NW
id_000109,test,NA,12,23,7,11,9,LAX,PHX,370,XE
id_000110,train,0,8,5,7,19,13,OAK,MCI,1489,WN
id_000111,test,NA,12,28,5,16,14,MSP,MCI,393,NW
id_000112,valid,0,9,30,7,20,19,JAN,DFW,408,MQ
id_000113,train,0,5,10,4,16,14,SFO,LAX,337,UA
id_000114,train,0,6,2,6,8,5,HPN,CVG,597,OH
id_000115,train,30,2,12,1,21,13,SFO,BOS,2704,AA
id_000116,train,45,1,14,7,10,7,MKE,IAH,984,XE
id_000117,valid,120,9,5,3,19,13,SAN,ORD,1723,UA
id_000118,train,15,2,17,6,8,6,SYR,CVG,527,OH
id_000119,train,180,6,8,5,21,20,LAX,SFO,337,UA
id_000120,valid,0,8,26,7,22,20,PHL,DCA,119,US
id_000121,test,NA,12,12,3,16,15,PWM,JFK,274,B6
id_000122,train,45,6,27,3,17,14,HPN,FLL,1098,B6
id_000123,train,75,6,3,7,12,11,DFW,STL,551,AA
id_000124,train,30,3,26,1,18,17,LBB,AUS,341,WN
id_000125,valid,0,9,14,5,16,10,SLC,BWI,1864,DL
id_000126,train,90,6,26,2,21,20,PHL,CMH,405,US
id_000127,train,0,7,19,4,12,7,SAN,AUS,1164,WN
id_000128,train,75,3,1,4,20,19,BUR,OAK,325,WN
id_000129,train,150,3,1,4,17,14,EGE,MSP,788,NW
id_000130,train,0,7,12,4,17,15,CVG,JFK,589,DL
id_000131,train,0,7,14,6,7,6,PFN,MEM,417,9E
id_000132,train,0,1,24,3,0,16,SFO,EWR,2565,CO
id_000133,train,15,1,8,1,11,9,SMF,LAS,397,US
id_000134,valid,0,8,25,6,15,13,MCO,CVG,756,DL
id_000135,test,NA,12,5,3,12,10,BWI,CVG,430,OH
id_000136,train,15,8,3,5,20,18,SJC,PHX,621,WN
id_000137,train,0,7,15,7,5,2,LAS,HNL,2762,HA
id_000138,train,0,7,10,2,9,7,ATW,CVG,411,OH
id_000139,test,NA,12,12,3,17,13,DFW,FLL,1119,AA
id_000140,train,45,7,12,4,19,18,LBB,DAL,293,WN
id_000141,valid,15,8,10,5,22,16,LAX,IAH,1379,CO
id_000142,train,45,8,12,7,21,19,DAL,MCI,461,WN
id_000143,train,0,3,30,5,16,14,SNA,SEA,978,AS
id_000144,train,0,4,26,4,17,16,BWI,MHT,377,WN
id_000145,valid,0,9,16,7,8,6,IAD,ATL,533,FL
id_000146,train,45,6,17,7,20,18,PVD,DCA,357,US
id_000147,train,90,3,30,5,15,11,PHX,MCI,1044,WN
id_000148,valid,0,9,23,7,11,10,RDU,ORD,647,AA
id_000149,train,0,2,2,5,19,17,ORD,XNA,522,OO
id_000150,test,NA,11,8,4,8,7,BOS,PHL,280,US
id_000151,valid,0,8,5,7,11,9,CLT,IAD,321,YV
id_000152,train,0,7,25,3,23,20,DEN,STL,770,F9
id_000153,train,15,4,14,6,14,11,BOS,FLL,1237,DL
id_000154,train,0,6,21,4,12,11,DCA,LGA,214,US
id_000155,train,30,6,4,1,10,8,BDL,PBI,1133,DL
id_000156,train,30,3,7,3,11,9,ORD,MDT,594,YV
id_000157,train,0,7,7,6,9,8,DEN,GJT,212,OO
id_000158,train,15,1,10,3,22,20,JFK,ROC,264,B6
id_000159,train,15,4,16,1,14,11,ORD,SEA,1721,UA
id_000160,train,75,3,11,7,21,19,ATL,BTV,960,EV
id_000161,train,15,4,12,4,11,9,PHX,OAK,646,US
id_000162,test,NA,11,22,4,10,8,AUS,SEA,1770,AA
id_000163,train,60,6,1,5,16,15,SFO,LAX,337,UA
id_000164,test,NA,10,15,1,15,14,MSP,MKE,297,OO
id_000165,test,NA,11,20,2,13,12,GRB,ORD,174,MQ
id_000166,train,0,6,9,6,20,19,SNA,SJC,342,WN
id_000167,train,15,1,19,5,14,12,ABE,DTW,424,9E
id_000168,train,0,5,19,6,17,11,SLC,BWI,1864,WN
id_000169,valid,0,9,30,7,23,16,SLC,JFK,1989,DL
id_000170,train,240,5,24,4,20,19,STL,OMA,342,WN
id_000171,valid,0,8,29,3,16,13,ORD,ALB,723,UA
id_000172,test,NA,11,21,3,11,8,ABQ,MCI,718,WN
id_000173,test,NA,11,16,5,10,7,LAX,COS,833,OO
id_000174,train,0,5,3,4,15,13,DTW,TYS,443,9E
id_000175,train,0,5,24,4,7,6,MEM,ORD,491,MQ
id_000176,test,NA,11,20,2,18,15,MIA,PHL,1013,AA
id_000177,valid,0,8,26,7,13,11,ATL,MSP,906,EV
id_000178,valid,30,9,5,3,12,11,TUL,MEM,342,9E
id_000179,valid,15,8,20,1,20,18,MCI,LAX,1363,WN
id_000180,test,NA,11,6,2,12,9,IAH,MCO,853,CO
id_000181,train,15,4,20,5,21,18,SAT,ATL,874,EV
id_000182,train,0,3,21,3,17,16,SFO,EUG,451,OO
id_000183,test,NA,11,9,5,13,12,MDW,MSP,349,NW
id_000184,train,0,7,1,7,11,10,SJC,LAX,308,WN
id_000185,test,NA,11,28,3,11,9,ATL,LAX,1946,FL
id_000186,train,0,3,11,7,12,11,SGU,SLC,269,OO
id_000187,valid,0,10,9,2,17,12,LAS,MCI,1140,WN
id_000188,valid,15,9,23,7,15,14,LEX,ATL,303,EV
id_000189,test,NA,12,6,4,13,11,SAN,SFO,447,UA
id_000190,train,225,7,29,7,22,19,DCA,PBI,857,US
id_000191,valid,0,9,28,5,17,17,LAX,SAN,109,OO
id_000192,train,0,5,24,4,16,12,IAH,DTW,1076,NW
id_000193,train,0,2,26,1,7,6,EGE,DEN,121,YV
id_000194,test,NA,12,28,5,18,16,IAD,SAV,515,YV
id_000195,train,0,4,6,5,15,14,DFW,LAS,1055,US
id_000196,train,0,7,13,5,13,11,IAH,SFO,1635,CO
id_000197,train,15,2,25,7,12,11,JAC,SLC,205,OO
id_000198,test,NA,11,20,2,22,21,PHX,SMF,647,WN
id_000199,train,0,4,16,1,20,17,MCO,SJU,1189,AA
id_000200,valid,45,10,28,7,22,20,EWR,MKE,725,OO
id_000201,train,0,4,19,4,9,7,GRB,DTW,288,NW
id_000202,train,15,3,9,5,14,12,LEX,DFW,785,MQ
id_000203,train,0,7,31,2,12,11,LIT,DAL,296,WN
id_000204,train,30,4,13,5,20,17,LGA,CLT,544,OH
id_000205,train,75,3,10,6,11,8,IAD,AUS,1297,YV
id_000206,train,0,7,12,4,22,20,CLT,EWR,529,XE
id_000207,train,0,7,28,6,15,14,DFW,AMA,313,MQ
id_000208,train,105,2,21,3,16,16,ATL,AEX,500,EV
id_000209,train,0,4,20,5,15,14,BUR,SMF,358,WN
id_000210,valid,0,9,21,5,18,16,PHX,SJC,621,US
id_000211,test,NA,12,16,7,16,14,MCO,IND,828,FL
id_000212,train,60,2,19,1,20,19,RDU,IAD,224,YV
id_000213,valid,15,10,21,7,17,15,MDW,CMH,284,WN
id_000214,test,NA,12,17,1,14,11,LAS,PDX,762,US
id_000215,test,NA,10,7,7,16,10,LAX,ORD,1745,AA
id_000216,train,0,4,30,1,8,6,ORF,DTW,529,NW
id_000217,valid,0,8,18,6,20,19,STL,DEN,770,F9
id_000218,test,NA,12,26,3,20,17,DFW,ATL,732,DL
id_000219,test,NA,12,27,4,13,11,ATL,PHL,665,DL
id_000220,train,0,5,31,4,20,18,MCO,ALB,1073,WN
id_000221,train,0,4,18,3,10,8,CLT,IAH,913,XE
id_000222,train,0,3,3,6,14,9,LAX,MCI,1363,WN
id_000223,train,15,4,22,7,22,19,TPA,EWR,998,B6
id_000224,train,0,7,17,2,16,15,SMF,LAX,373,WN
id_000225,test,NA,12,2,7,9,7,SEA,LAX,954,XE
id_000226,train,15,7,19,4,21,20,LAX,LAS,236,WN
id_000227,train,30,4,24,2,20,19,MCI,MDW,405,WN
id_000228,train,0,1,25,4,8,7,TYS,CVG,226,EV
id_000229,train,0,6,19,2,20,18,ONT,OAK,361,WN
id_000230,test,NA,11,3,6,15,14,ONT,SFO,363,OO
id_000231,train,15,5,15,2,17,15,DTW,PHL,453,NW
id_000232,train,0,2,8,4,10,8,RSW,ATL,515,FL
id_000233,train,15,5,21,1,9,8,DEN,SLC,391,F9
id_000234,valid,30,8,14,2,11,8,ORD,LGA,733,UA
id_000235,train,15,5,22,2,7,6,GSO,DTW,460,9E
id_000236,valid,0,9,5,3,18,18,DTW,MDW,229,WN
id_000237,valid,15,9,4,2,22,21,PDX,GEG,279,WN
id_000238,train,15,7,18,3,9,8,ATL,ROA,357,EV
id_000239,train,30,6,19,2,19,16,ORD,GSO,590,YV
id_000240,train,30,6,18,1,18,15,PHL,TPA,920,US
id_000241,train,45,4,11,3,20,19,DTW,MSP,528,NW
id_000242,train,75,7,29,7,16,14,PHL,ORD,678,AA
id_000243,test,NA,12,14,5,14,13,PHX,SLC,507,WN
id_000244,train,150,2,24,6,13,11,MSP,LAX,1536,NW
id_000245,train,15,6,14,4,16,15,AUS,DAL,189,WN
id_000246,train,60,3,1,4,14,12,CHS,CVG,497,EV
id_000247,train,15,6,11,1,14,13,ORD,SPI,174,YV
id_000248,train,135,2,21,3,14,11,MCO,MSP,1310,FL
id_000249,train,15,6,19,2,17,13,MSP,ATL,906,EV
id_000250,test,NA,12,13,4,10,6,SJC,DEN,948,UA
id_000251,valid,0,10,18,4,7,6,ONT,SMF,389,WN
id_000252,test,NA,12,9,7,20,18,DFW,SLC,988,OO
id_000253,train,15,6,28,4,9,7,ORD,BHM,584,MQ
id_000254,valid,30,8,16,4,16,14,ORF,JAX,543,WN
id_000255,train,30,6,7,4,19,14,DFW,LGA,1389,AA
id_000256,train,0,2,19,1,15,12,PSP,SLC,541,OO
id_000257,train,15,3,6,2,16,14,ATL,JFK,760,DL
id_000258,train,45,6,7,4,22,19,EWR,TPA,998,CO
id_000259,train,30,5,22,2,21,18,SAT,ATL,874,EV
id_000260,test,NA,12,17,1,11,10,SMF,SFO,86,OO
id_000261,train,0,7,24,2,14,12,CLD,PHX,306,YV
id_000262,train,0,4,29,7,10,8,MCO,DFW,984,AA
id_000263,train,0,4,18,3,13,7,DEN,LGA,1619,UA
id_000264,valid,0,10,26,5,18,16,SFO,SEA,679,UA
id_000265,valid,0,9,10,1,22,18,PHX,OKC,833,YV
id_000266,train,0,3,2,5,21,19,LAS,SJC,386,WN
id_000267,train,0,1,26,5,12,11,GFK,MSP,284,9E
id_000268,valid,0,9,13,4,11,10,DCA,LGA,214,DL
id_000269,valid,0,8,29,3,16,13,BNA,CVG,230,OH
id_000270,train,0,3,16,5,21,16,PHX,STL,1262,WN
id_000271,train,0,1,1,1,10,9,DTW,MCI,629,NW
id_000272,train,0,2,19,1,18,16,ELP,DEN,563,OO
id_000273,train,15,5,11,5,14,13,PIA,ORD,130,MQ
id_000274,train,0,3,16,5,18,17,DAL,HOU,239,WN
id_000275,train,0,4,26,4,22,21,SJC,LAX,308,MQ
id_000276,train,0,3,26,1,13,13,SLC,BUR,574,OO
id_000277,train,120,4,22,7,19,18,RNO,OAK,180,WN
id_000278,train,15,3,11,7,17,16,ABE,ORD,654,YV
id_000279,train,0,6,27,3,17,12,TUS,MSP,1298,NW
id_000280,valid,15,10,14,7,20,18,BNA,IAH,657,XE
id_000281,train,0,1,26,5,13,12,PSP,LAX,110,OO
id_000282,train,30,7,21,6,8,6,SGF,ATL,563,OH
id_000283,test,NA,11,6,2,8,6,LIT,ORD,552,MQ
id_000284,test,NA,5,1,2,16,14,JAN,ATL,341,EV
id_000285,train,0,1,31,3,19,17,LGA,DEN,1619,F9
id_000286,train,15,2,25,7,14,11,CMH,MIA,990,MQ
id_000287,train,0,4,14,6,16,14,MCO,JFK,944,B6
id_000288,train,15,2,16,5,13,12,STL,ORD,258,AA
id_000289,train,30,2,17,6,19,17,FNT,RSW,1138,FL
id_000290,train,195,3,1,4,12,11,EVV,ORD,273,MQ
id_000291,train,0,3,29,4,10,9,MSP,TUS,1298,NW
id_000292,train,0,2,8,4,12,11,DAB,ATL,366,FL
id_000293,test,NA,12,22,6,11,6,PSP,DFW,1126,AA
id_000294,train,0,4,3,2,7,6,SAV,ATL,215,DL
id_000295,train,180,7,11,3,19,18,AUS,DAL,189,WN
id_000296,valid,120,8,25,6,8,23,PDX,JFK,2454,B6
id_000297,train,0,2,12,1,18,16,EWR,CLT,529,YV
id_000298,train,0,2,8,4,11,11,RDU,CLT,130,US
id_000299,train,0,1,29,1,14,10,LAS,HNL,2762,HA
id_000300,test,NA,12,11,2,15,13,DCA,JFK,213,OH
id_000301,valid,15,8,15,3,8,6,BOS,ORD,867,AA
id_000302,train,0,2,19,1,16,14,RDU,IAH,1043,XE
id_000303,train,45,6,16,6,20,17,SEA,SFO,679,AS
id_000304,train,0,6,22,5,15,13,ATL,GSO,306,EV
id_000305,train,15,5,4,5,15,13,PHL,ATL,665,FL
id_000306,test,NA,12,30,7,13,11,PDX,OAK,543,AS
id_000307,train,0,3,5,1,14,12,STL,CLE,487,XE
id_000308,test,NA,10,5,5,21,18,MEM,IND,381,NW
id_000309,train,0,1,18,4,12,9,DCA,DFW,1192,AA
id_000310,train,60,5,13,7,0,22,SEA,FAI,1533,AS
id_000311,train,15,2,5,1,16,14,MEM,MSP,700,NW
id_000312,train,0,3,30,5,19,17,ORF,ORD,717,OO
id_000313,test,NA,11,23,5,18,17,ONT,LAS,197,WN
id_000314,valid,15,9,20,4,16,15,DCA,BOS,399,US
id_000315,train,30,4,30,1,18,17,COS,PHX,551,YV
id_000316,train,0,6,18,1,20,17,PBI,BOS,1197,B6
id_000317,train,0,2,1,4,20,19,SAN,OAK,446,WN
id_000318,train,0,5,20,7,15,14,FAT,LAX,209,OO
id_000319,test,NA,12,11,2,21,19,CLT,ORD,599,MQ
id_000320,valid,0,8,16,4,15,13,OKC,SLC,866,OO
id_000321,valid,0,8,30,4,16,11,DEN,DTW,1123,NW
id_000322,train,0,4,20,5,16,14,ORD,MSP,334,AA
id_000323,train,15,5,22,2,20,18,TPA,IAH,787,CO
id_000324,test,NA,12,3,1,10,8,CLE,LAX,2053,CO
id_000325,test,NA,11,10,6,7,5,EKO,SLC,200,OO
id_000326,test,NA,12,26,3,19,18,DCA,LGA,214,DL
id_000327,test,NA,10,15,1,13,12,MSP,DEN,680,NW
id_000328,valid,0,10,24,3,11,10,SLC,GJT,217,OO
id_000329,train,0,4,4,3,10,9,CVG,IAD,388,OH
id_000330,valid,15,10,18,4,19,18,TUL,MCI,223,WN
id_000331,test,NA,12,8,6,0,21,DFW,DCA,1192,AA
id_000332,train,15,4,2,1,19,18,ATL,GNV,300,EV
id_000333,train,30,5,27,7,9,8,DFW,TUL,237,AA
id_000334,test,NA,10,8,1,19,17,MSP,IND,503,NW
id_000335,train,0,1,24,3,8,5,PHL,IAH,1324,CO
id_000336,train,0,5,25,5,16,8,PHX,FLL,1972,US
id_000337,train,15,6,15,5,0,18,DEN,BOS,1754,UA
id_000338,train,15,2,26,1,22,21,SEA,GEG,224,AS
id_000339,train,75,7,2,1,13,8,OAK,DFW,1456,AA
id_000340,test,NA,12,16,7,18,16,RDU,BOS,612,MQ
id_000341,test,NA,12,2,7,21,19,PDX,LAS,762,AS
id_000342,train,15,3,6,2,10,8,IAH,BNA,657,XE
id_000343,train,0,7,9,1,21,20,MCO,LAS,2039,US
id_000344,train,0,5,25,5,11,8,MEM,SFO,1807,NW
id_000345,valid,15,8,26,7,19,17,MIA,DCA,920,AA
id_000346,train,15,4,17,2,14,12,DCA,BOS,399,OH
id_000347,train,0,6,30,6,10,9,DFW,AMA,313,MQ
id_000348,train,75,3,22,4,18,17,HOU,SAT,192,WN
id_000349,train,75,5,19,6,19,16,JFK,MCO,944,DL
id_000350,valid,0,9,16,7,19,17,AGS,ATL,143,EV
id_000351,train,30,6,9,6,19,16,BOS,DFW,1562,AA
id_000352,train,0,1,19,5,9,8,CVG,DTW,229,9E
id_000353,valid,15,10,29,1,18,16,ORD,MCI,403,UA
id_000354,train,30,6,20,3,21,19,MDW,PHX,1444,WN
id_000355,test,NA,12,31,1,16,13,ORD,LGA,733,AA
id_000356,train,120,4,5,4,9,8,ABQ,PHX,328,US
id_000357,test,NA,11,8,4,10,8,MSY,MCI,690,XE
id_000358,train,15,1,12,5,13,12,ATL,SAV,215,DL
id_000359,test,NA,11,1,4,23,21,MSP,BOI,1142,NW
id_000360,train,15,6,4,1,13,11,ORD,PIT,412,MQ
id_000361,train,0,2,20,2,18,16,DTW,SLC,1481,OO
id_000362,train,0,5,13,7,19,17,TUS,ABQ,321,WN
id_000363,test,NA,11,12,1,12,11,SMF,ONT,389,WN
id_000364,train,15,4,3,2,14,8,SFO,ORD,1846,UA
id_000365,train,15,7,26,4,6,6,FAI,ANC,261,AS
id_000366,test,NA,11,11,7,19,19,AUS,HOU,148,WN
id_000367,train,120,1,17,3,16,12,DFW,PHL,1302,AA
id_000368,valid,0,9,14,5,14,12,IAD,JAX,631,YV
id_000369,valid,0,9,30,7,19,18,SJC,LAX,308,WN
id_000370,train,0,6,4,1,6,23,SEA,BWI,2335,FL
id_000371,train,0,6,11,1,17,16,SLC,LAX,590,OO
id_000372,train,90,7,31,2,17,16,LAW,DFW,140,MQ
id_000373,test,NA,12,3,1,17,14,SAV,LGA,722,OH
id_000374,train,0,3,6,2,12,9,MEM,CLT,512,9E
id_000375,train,0,3,1,4,17,14,IAD,MIA,921,MQ
id_000376,train,45,6,25,1,16,13,ISP,FLL,1093,WN
id_000377,train,0,5,14,1,19,18,RDU,BWI,255,WN
id_000378,test,NA,11,9,5,20,18,JAX,DCA,634,US
id_000379,train,0,3,12,1,9,8,CLE,DAY,162,XE
id_000380,train,0,6,26,2,10,8,SEA,LAX,954,AS
id_000381,train,0,6,20,3,20,19,HNL,KOA,163,YV
id_000382,train,30,7,10,2,19,18,SGF,DFW,364,MQ
id_000383,valid,0,8,16,4,17,14,MKE,DFW,853,MQ
id_000384,test,NA,12,20,4,18,16,BGR,DTW,750,9E
id_000385,train,0,3,24,6,19,18,DFW,TUS,813,AA
id_000386,train,15,3,4,7,6,23,PHX,JFK,2153,B6
id_000387,valid,0,10,29,1,20,13,SEA,ATL,2182,DL
id_000388,test,NA,10,1,1,9,6,SEA,SLC,689,DL
id_000389,train,0,2,26,1,10,8,DEN,SNA,846,UA
id_000390,test,NA,12,30,7,16,14,BUF,ATL,712,FL
id_000391,train,120,2,25,7,17,16,ABE,DTW,424,9E
id_000392,train,0,2,7,3,17,15,DTW,BWI,408,NW
id_000393,test,NA,12,9,7,9,6,BHM,ORD,584,YV
id_000394,train,0,7,11,3,8,7,DAL,AMA,324,WN
id_000395,train,15,2,6,2,15,14,DFW,MSY,448,AA
id_000396,train,0,5,11,5,17,15,RDU,LGA,431,OH
id_000397,valid,15,8,24,5,18,17,RDU,DCA,227,MQ
id_000398,train,0,4,22,7,15,13,MIA,DFW,1121,AA
id_000399,train,0,5,8,2,17,16,RAP,DEN,301,OO
id_000400,train,0,2,24,6,12,11,STL,MEM,256,9E
id_000401,valid,15,8,8,3,23,21,ORD,GRR,137,MQ
id_000402,train,0,3,9,5,12,11,SYR,CVG,527,OH
id_000403,test,NA,12,30,7,9,7,ATL,PBI,545,DL
id_000404,test,NA,11,24,6,7,6,GEG,SEA,224,AS
id_000405,test,NA,12,1,6,20,17,MSY,IAD,954,UA
id_000406,valid,0,9,29,6,8,7,ORF,ATL,516,DL
id_000407,train,30,5,28,1,20,18,MCO,ATL,403,DL
id_000408,valid,45,10,18,4,22,20,DEN,BZN,525,OO
id_000409,train,0,1,25,4,10,8,LGA,CLE,418,XE
id_000410,test,NA,12,22,6,20,18,ATL,ORD,606,UA
id_000411,test,NA,12,2,7,17,14,DTW,IAH,1076,CO
id_000412,train,0,5,20,7,23,15,SFO,BWI,2457,UA
id_000413,valid,0,9,23,7,10,9,OGG,LIH,202,AQ
id_000414,valid,0,10,24,3,18,14,SJU,PHL,1576,US
id_000415,valid,0,9,21,5,18,16,BOS,BWI,370,OH
id_000416,train,0,6,29,5,8,6,DTW,LGA,501,NW
id_000417,train,0,6,14,4,19,16,BOS,FLL,1237,B6
id_000418,train,0,4,22,7,16,13,MSP,DCA,931,NW
id_000419,valid,0,9,21,5,22,20,BWI,FLL,925,WN
id_000420,test,NA,10,21,7,12,9,DFW,BWI,1217,AA
id_000421,train,0,6,2,6,11,10,SLC,COS,410,OO
id_000422,train,60,7,27,5,22,21,BWI,PVD,328,WN
id_000423,valid,0,8,16,4,23,22,DTW,TVC,207,NW
id_000424,train,15,2,28,3,11,8,MIA,DTW,1145,NW
id_000425,train,0,5,5,6,19,18,IAD,HSV,595,YV
id_000426,train,90,5,20,7,19,17,IND,EWR,644,CO
